bam,prop. sites covered >5x
Pool_8_S8_L001_R1_001_CTAC.trim.bt2.bam,0.08536568
Pool_24_S8_L001_R1_001_TCAG.trim.bt2.bam,0.093052727
Pool_3_S3_L001_R1_001_CTAC.trim.bt2.bam,0.094171791
Pool_14_S14_L002_R1_001_AGTG.trim.bt2.bam,0.107687388
Pool_24_S8_L001_R1_001_TGTC.trim.bt2.bam,0.113927394
Pool_23_S7_L001_R1_001_TCAG.trim.bt2.bam,0.118404084
Pool_22_S6_L001_R1_001_TCAG.trim.bt2.bam,0.122572714
Pool_6_S6_L001_R1_001_TGTC.trim.bt2.bam,0.126257827
Pool_3_S3_L001_R1_001_AGTG.trim.bt2.bam,0.167427039
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_ACCA.trim.bt2.bam,0.188185213
Pool_15_Jaskiel_Lane2_S15_L004_R1_001_CTAC.trim.bt2.bam,0.189061345
Pool_13_S13_L002_R1_001_GCTT.trim.bt2.bam,0.193813284
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_AGAC.trim.bt2.bam,0.199703684
Pool_13_S13_L002_R1_001_TCAC.trim.bt2.bam,0.205819914
Pool_3_S3_L001_R1_001_GACT.trim.bt2.bam,0.215593854
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_GACT.trim.bt2.bam,0.22563817
Pool_15_S15_L002_R1_001_TCAG.trim.bt2.bam,0.252977242
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_CATC.trim.bt2.bam,0.253060929
Pool_17_S1_L001_R1_001_GCTT.trim.bt2.bam,0.254713287
Pool_15_Jaskiel_Lane2_S15_L004_R1_001_TCAC.trim.bt2.bam,0.268254743
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_TCAC.trim.bt2.bam,0.269579754
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_GCTT.trim.bt2.bam,0.278375904
Pool_7_Jaskiel_Lane1_S7_L003_R1_001_TCAC.trim.bt2.bam,0.292354955
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_AGTG.trim.bt2.bam,0.305158767
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_CATC.trim.bt2.bam,0.31183376
Pool_3_S3_L001_R1_001_TCAC.trim.bt2.bam,0.314496831
Pool_15_Jaskiel_Lane2_S15_L004_R1_001_AGTG.trim.bt2.bam,0.315222844
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_AGAC.trim.bt2.bam,0.316149793
Pool_15_Jaskiel_Lane2_S15_L004_R1_001_GCTT.trim.bt2.bam,0.326470214
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_AGTG.trim.bt2.bam,0.332684896
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_CTAC.trim.bt2.bam,0.346633282
Pool_7_Jaskiel_Lane1_S7_L003_R1_001_GACT.trim.bt2.bam,0.348517741
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_AGTG.trim.bt2.bam,0.35876523
Pool_7_S7_L001_R1_001_GCTT.trim.bt2.bam,0.358999507
Pool_24_S8_L001_R1_001_GACT.trim.bt2.bam,0.366120089
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_GACT.trim.bt2.bam,0.366138694
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_CATC.trim.bt2.bam,0.367818279
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_AGAC.trim.bt2.bam,0.371521364
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_TCAG.trim.bt2.bam,0.371987427
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_TCAC.trim.bt2.bam,0.37218006
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_TGGT.trim.bt2.bam,0.372771238
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_CATC.trim.bt2.bam,0.386722181
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_AGTG.trim.bt2.bam,0.391114605
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_ACCA.trim.bt2.bam,0.391640804
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_TCAG.trim.bt2.bam,0.398516494
Pool_17_S1_L001_R1_001_CATC.trim.bt2.bam,0.405979875
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_GTGA.trim.bt2.bam,0.408066312
