,expected_heterozygosity,year
1,0.001973766,2018
2,0.002585955,2018
3,0.001861818,2018
4,0.002415185,2018
5,0.003486697,2016
6,0.00418048,2016
7,0.003899636,2016
8,0.002276011,2020
9,0.002084466,2016
10,0.002965719,2017
11,0.003724738,2016
12,0.004002115,2020
13,0.003803137,2020
14,0.002646414,2020
15,0.002046824,2018
16,0.001962064,2018
17,0.002615822,2018
18,0.001850422,2022
19,0.002114356,2022
20,0.002043954,2022
21,0.002494404,2022
22,0.002281615,2022
23,0.001592304,2022
24,0.002401249,2022
25,0.001426017,2022
26,0.003742752,2020
27,0.00362399,2020
28,0.002348841,2020
29,0.003628862,2020
30,0.002548843,2016
31,0.003418332,2020
32,0.003067331,2016
33,0.004361992,2016
34,0.002029601,2016
35,0.002506866,2016
36,0.001683286,2016
37,0.003839574,2020
38,0.003061435,2020
39,0.003437377,2018
40,0.004118109,2020
41,0.002476687,2017
42,0.002348763,2018
43,0.00229311,2020
44,0.00286021,2020
45,0.002389707,2020
46,0.00214763,2020
47,0.002188277,2020
48,0.001886011,2020
49,0.002528345,2020
50,0.002096539,2020
51,0.003398968,2020
52,0.00192739,2020
53,0.001999317,2020
54,0.002047571,2020
55,0.003714582,2019
56,0.003046053,2018
57,0.001783658,2018
