,expected_heterozygosity,year
1,0.003502285,2015
2,0.004345846,2015
3,0.004397772,2015
4,0.003577181,2016
5,0.002548664,2020
6,0.004235838,2018
7,0.002230475,2018
8,0.002697444,2020
9,0.004582434,2015
10,0.0033595,2016
11,0.002732291,2018
12,0.002814129,2018
13,0.004449713,2015
14,0.004393898,2017
15,0.003420673,2018
16,0.005236659,2017
17,0.004778031,2018
18,0.002422115,2018
19,0.003378352,2018
20,0.002575037,2018
21,0.002933977,2018
22,0.002470423,2018
23,0.004124122,2015
24,0.002036151,2016
25,0.003056298,2015
26,0.002614744,2020
27,0.004362759,2018
28,0.002208355,2018
29,0.00479523,2018
30,0.002978587,2020
31,0.004256573,2018
32,0.003370177,2018
33,0.004827096,2018
34,0.002317902,2018
35,0.002445913,2018
36,0.002681737,2018
37,0.002675926,2022
38,0.002700199,2022
39,0.002211846,2022
40,0.002524439,2022
41,0.003213244,2022
42,0.002251781,2022
43,0.004223464,2018
44,0.004788359,2018
45,0.005065193,2018
46,0.003605322,2020
47,0.003512318,2018
48,0.003822557,2018
49,0.004020752,2018
50,0.004428152,2018
51,0.005182175,2018
52,0.00340703,2018
53,0.004150194,2018
54,0.003087313,2018
55,0.004991064,2018
56,0.004359692,2018
57,0.00208109,2018
58,0.004286196,2018
59,0.004946138,2017
60,0.004640028,2018
61,0.003895461,2018
62,0.004024922,2017
63,0.002486276,2015
64,0.004078527,2018
65,0.00233084,2016
66,0.004341071,2018
67,0.004702925,2018
68,0.004778543,2020
69,0.003338859,2020
70,0.004158417,2020
71,0.003554807,2020
72,0.004543952,2020
73,0.00344884,2020
74,0.004102992,2020
75,0.005859601,2017
76,0.003851373,2020
77,0.005427947,2020
78,0.002582174,2020
79,0.004657098,2020
80,0.003956119,2020
81,0.004363919,2020
82,0.003979793,2020
83,0.003377086,2020
84,0.002138259,2018
85,0.002400376,2020
86,0.003219052,2020
87,0.003995147,2020
88,0.002711135,2020
89,0.003160621,2020
90,0.002202726,2020
91,0.003106297,2020
92,0.002042395,2020
93,0.002880305,2020
94,0.003785314,2018
95,0.002848704,2018
96,0.004175109,2019
